Grid->dimx = 50 Grid->dimy = 50 Grid->cell = 0x7f96887bc010
X = 7 Y = 9 cell = 0x7f96887cddb0
X = 7 Y = 10 cell = 0x7f96887cfcf0
X = 7 Y = 11 cell = 0x7f96887d1c30
X = 7 Y = 12 cell = 0x7f96887d3b70
X = 7 Y = 13 cell = 0x7f96887d5ab0
X = 7 Y = 14 cell = 0x7f96887d79f0
X = 7 Y = 15 cell = 0x7f96887d9930
X = 7 Y = 16 cell = 0x7f96887db870
X = 7 Y = 17 cell = 0x7f96887dd7b0
X = 7 Y = 18 cell = 0x7f96887df6f0
X = 7 Y = 19 cell = 0x7f96887e1630
X = 7 Y = 20 cell = 0x7f96887e3570
X = 7 Y = 21 cell = 0x7f96887e54b0
X = 7 Y = 22 cell = 0x7f96887e73f0
X = 7 Y = 23 cell = 0x7f96887e9330
X = 7 Y = 24 cell = 0x7f96887eb270
X = 7 Y = 25 cell = 0x7f96887ed1b0
X = 7 Y = 26 cell = 0x7f96887ef0f0
X = 7 Y = 27 cell = 0x7f96887f1030
X = 7 Y = 28 cell = 0x7f96887f2f70
X = 7 Y = 29 cell = 0x7f96887f4eb0
X = 7 Y = 30 cell = 0x7f96887f6df0
X = 7 Y = 31 cell = 0x7f96887f8d30
X = 7 Y = 32 cell = 0x7f96887fac70
X = 7 Y = 33 cell = 0x7f96887fcbb0
X = 7 Y = 34 cell = 0x7f96887feaf0
X = 7 Y = 35 cell = 0x7f9688800a30
X = 7 Y = 36 cell = 0x7f9688802970
X = 7 Y = 37 cell = 0x7f96888048b0
X = 7 Y = 38 cell = 0x7f96888067f0
X = 7 Y = 39 cell = 0x7f9688808730
X = 7 Y = 40 cell = 0x7f968880a670
X = 7 Y = 41 cell = 0x7f968880c5b0
X = 7 Y = 42 cell = 0x7f968880e4f0
X = 7 Y = 43 cell = 0x7f9688810430
X = 7 Y = 44 cell = 0x7f9688812370
X = 7 Y = 45 cell = 0x7f96888142b0
X = 7 Y = 46 cell = 0x7f96888161f0
X = 7 Y = 47 cell = 0x7f9688818130
X = 7 Y = 48 cell = 0x7f968881a070
X = 7 Y = 49 cell = 0x7f968881bfb0
X = 8 Y = 0 cell = 0x7f96887bc510
X = 8 Y = 1 cell = 0x7f96887be450
X = 8 Y = 2 cell = 0x7f96887c0390
X = 8 Y = 3 cell = 0x7f96887c22d0
X = 8 Y = 4 cell = 0x7f96887c4210
X = 8 Y = 5 cell = 0x7f96887c6150
X = 8 Y = 6 cell = 0x7f96887c8090
X = 8 Y = 7 cell = 0x7f96887c9fd0
X = 8 Y = 8 cell = 0x7f96887cbf10
X = 8 Y = 9 cell = 0x7f96887cde50
X = 8 Y = 10 cell = 0x7f96887cfd90
X = 8 Y = 11 cell = 0x7f96887d1cd0
X = 8 Y = 12 cell = 0x7f96887d3c10
X = 8 Y = 13 cell = 0x7f96887d5b50
X = 8 Y = 14 cell = 0x7f96887d7a90
X = 8 Y = 15 cell = 0x7f96887d99d0
X = 8 Y = 16 cell = 0x7f96887db910
X = 8 Y = 17 cell = 0x7f96887dd850
X = 8 Y = 18 cell = 0x7f96887df790
X = 8 Y = 19 cell = 0x7f96887e16d0
X = 8 Y = 20 cell = 0x7f96887e3610
X = 8 Y = 21 cell = 0x7f96887e5550
X = 8 Y = 22 cell = 0x7f96887e7490
X = 8 Y = 23 cell = 0x7f96887e93d0
X = 8 Y = 24 cell = 0x7f96887eb310
X = 8 Y = 25 cell = 0x7f96887ed250
X = 8 Y = 26 cell = 0x7f96887ef190
X = 8 Y = 27 cell = 0x7f96887f10d0
X = 8 Y = 28 cell = 0x7f96887f3010
X = 8 Y = 29 cell = 0x7f96887f4f50
X = 8 Y = 30 cell = 0x7f96887f6e90
X = 8 Y = 31 cell = 0x7f96887f8dd0
X = 8 Y = 32 cell = 0x7f96887fad10
X = 8 Y = 33 cell = 0x7f96887fcc50
X = 8 Y = 34 cell = 0x7f96887feb90
X = 8 Y = 35 cell = 0x7f9688800ad0
X = 8 Y = 36 cell = 0x7f9688802a10
X = 8 Y = 37 cell = 0x7f9688804950
X = 8 Y = 38 cell = 0x7f9688806890
X = 8 Y = 39 cell = 0x7f96888087d0
X = 8 Y = 40 cell = 0x7f968880a710
X = 8 Y = 41 cell = 0x7f968880c650
X = 8 Y = 42 cell = 0x7f968880e590
X = 8 Y = 43 cell = 0x7f96888104d0
X = 8 Y = 44 cell = 0x7f9688812410
X = 8 Y = 45 cell = 0x7f9688814350
X = 8 Y = 46 cell = 0x7f9688816290
X = 8 Y = 47 cell = 0x7f96888181d0
X = 8 Y = 48 cell = 0x7f968881a110
X = 8 Y = 49 cell = 0x7f968881c050
X = 9 Y = 0 cell = 0x7f96887bc5b0
X = 9 Y = 1 cell = 0x7f96887be4f0
X = 9 Y = 2 cell = 0x7f96887c0430
X = 9 Y = 3 cell = 0x7f96887c2370
X = 9 Y = 4 cell = 0x7f96887c42b0
